Date,NDVI_Landsat8
6-Jun-13,-0.235
8-Jun-13,-0.347
1-Jul-13,0.244
10-Jul-13,0.323
2-Aug-13,0.415
9-Aug-13,0.361
11-Aug-13,0.375
10-Feb-14,0.098
19-Feb-14,0.061
14-Mar-14,0.015
23-Mar-14,0.009
22-Apr-14,-0.012
24-Apr-14,-0.014
9-Jun-14,0.28
27-Jun-14,0.402
11-Jul-14,0.456
13-Jul-14,0.437
28-Aug-14,0.418
24-Mar-15,0.026
2-Apr-15,0.014
18-Apr-15,0.008
25-Apr-15,-0.019
27-Apr-15,-0.018
4-May-15,-0.017
13-May-15,0.085
20-May-15,0.271
27-May-15,0.273
21-Jun-15,0.392
30-Jun-15,0.397
16-Jul-15,0.36
8-Aug-15,0.43
25-Sep-15,0.291
11-Oct-15,0.027
28-Mar-16,-0.015
11-Apr-16,-0.002
13-May-16,-0.063
31-May-16,0.201
7-Jun-16,0.248
2-Jul-16,0.362
27-Feb-17,0.05
22-Mar-17,0.01
29-Mar-17,-0.001
2-May-17,-0.021
16-May-17,-0.056
3-Jun-17,0.191
19-Jun-17,0.268
12-Jul-17,0.379
19-Jul-17,0.39
28-Jul-17,0.416
30-Sep-17,0.263
2-Mar-18,0.02
9-Mar-18,0.022
25-Mar-18,0.015
10-Apr-18,-0.006
17-Apr-18,-0.007
19-Apr-18,0.002
26-Apr-18,0.005
4-Jun-18,-0.029
13-Jun-18,0.305
22-Jul-18,0.189
22-Jul-18,0.426
24-Jul-18,0.419
23-Aug-18,0.44
25-Aug-18,0.259
19-Oct-18,0.022
5-Mar-19,0.009
6-Apr-19,-0.006
29-Apr-19,-0.019
15-May-19,-0.081
22-May-19,-0.029
24-May-19,0.17
31-May-19,0.344
7-Jun-19,0.357
9-Jul-19,0.42
25-Jul-19,0.12
25-Jul-19,0.416
27-Jul-19,0.424
11-Sep-19,0.114
29-Sep-19,0.18
11-Feb-20,0.116
30-Mar-20,0.002
15-Apr-20,-0.003
8-May-20,-0.013
10-May-20,-0.035
24-May-20,-0.043
26-May-20,0.083
2-Jun-20,-0.389
11-Jun-20,0.202
18-Jun-20,0.249
11-Jul-20,0.349
21-Aug-20,0.41
28-Aug-20,0.41
6-Sep-20,0.377
17-Mar-21,0.023
26-Mar-21,0.008
