Date,NDVI_Landsat8_8dayComposite
7-Apr-13,
15-Apr-13,
23-Apr-13,
1-May-13,
9-May-13,
17-May-13,
25-May-13,0.022
2-Jun-13,-0.234
10-Jun-13,0.023
18-Jun-13,0.007
26-Jun-13,0.245
4-Jul-13,0.16
12-Jul-13,0.046
20-Jul-13,0.381
28-Jul-13,0.416
5-Aug-13,0.362
13-Aug-13,
21-Aug-13,0.436
29-Aug-13,
6-Sep-13,0.148
14-Sep-13,
22-Sep-13,
30-Sep-13,
8-Oct-13,0.181
16-Oct-13,
24-Oct-13,
1-Nov-13,
9-Nov-13,
17-Nov-13,
25-Nov-13,
3-Dec-13,
11-Dec-13,
19-Dec-13,
27-Dec-13,
1-Jan-14,
9-Jan-14,
17-Jan-14,
25-Jan-14,
2-Feb-14,
10-Feb-14,0.098
18-Feb-14,0.061
26-Feb-14,
6-Mar-14,
14-Mar-14,0.015
22-Mar-14,0.009
30-Mar-14,0.005
7-Apr-14,
15-Apr-14,-0.012
23-Apr-14,-0.014
1-May-14,
9-May-14,
17-May-14,0.015
25-May-14,0.217
2-Jun-14,0.281
10-Jun-14,0.161
18-Jun-14,0.222
26-Jun-14,0.404
4-Jul-14,0.457
12-Jul-14,0.365
20-Jul-14,0.061
28-Jul-14,
5-Aug-14,0.271
13-Aug-14,0.05
21-Aug-14,0.419
29-Aug-14,
6-Sep-14,0.061
14-Sep-14,0.104
22-Sep-14,
30-Sep-14,
8-Oct-14,0.046
16-Oct-14,
24-Oct-14,
1-Nov-14,
9-Nov-14,
17-Nov-14,
25-Nov-14,
3-Dec-14,
11-Dec-14,
19-Dec-14,
27-Dec-14,
1-Jan-15,
9-Jan-15,
17-Jan-15,
25-Jan-15,
2-Feb-15,
10-Feb-15,
18-Feb-15,
26-Feb-15,
6-Mar-15,
14-Mar-15,
22-Mar-15,0.026
30-Mar-15,0.014
7-Apr-15,
15-Apr-15,0.008
23-Apr-15,-0.019
1-May-15,-0.017
9-May-15,0.091
17-May-15,0.272
25-May-15,0.276
2-Jun-15,0.027
10-Jun-15,0.345
18-Jun-15,0.393
26-Jun-15,0.397
4-Jul-15,
12-Jul-15,0.425
20-Jul-15,0.05
28-Jul-15,0.037
5-Aug-15,0.431
13-Aug-15,
21-Aug-15,
29-Aug-15,
6-Sep-15,
14-Sep-15,
22-Sep-15,0.292
30-Sep-15,0.03
8-Oct-15,0.027
16-Oct-15,
24-Oct-15,
1-Nov-15,
9-Nov-15,
17-Nov-15,
25-Nov-15,
3-Dec-15,
11-Dec-15,
19-Dec-15,
27-Dec-15,
1-Jan-16,
9-Jan-16,
17-Jan-16,
25-Jan-16,
2-Feb-16,0.055
10-Feb-16,
18-Feb-16,
26-Feb-16,
5-Mar-16,0.049
13-Mar-16,
21-Mar-16,-0.015
29-Mar-16,
6-Apr-16,-0.002
14-Apr-16,
22-Apr-16,
30-Apr-16,
8-May-16,-0.062
16-May-16,0.018
24-May-16,0.075
1-Jun-16,0.249
9-Jun-16,
17-Jun-16,0.323
25-Jun-16,0.351
3-Jul-16,0.04
11-Jul-16,
19-Jul-16,0.408
27-Jul-16,0.384
4-Aug-16,
12-Aug-16,0.139
20-Aug-16,
28-Aug-16,0.052
5-Sep-16,0.057
13-Sep-16,0.086
21-Sep-16,
29-Sep-16,0.19
7-Oct-16,
15-Oct-16,
23-Oct-16,0.05
31-Oct-16,
8-Nov-16,
16-Nov-16,
24-Nov-16,
2-Dec-16,
10-Dec-16,
18-Dec-16,
26-Dec-16,
1-Jan-17,
9-Jan-17,
17-Jan-17,
25-Jan-17,
2-Feb-17,
10-Feb-17,
18-Feb-17,
26-Feb-17,0.05
6-Mar-17,
14-Mar-17,
22-Mar-17,0
30-Mar-17,
7-Apr-17,
15-Apr-17,
23-Apr-17,
1-May-17,-0.021
9-May-17,-0.054
17-May-17,
25-May-17,0.045
2-Jun-17,0.192
10-Jun-17,0.206
18-Jun-17,0.268
26-Jun-17,
4-Jul-17,0.023
12-Jul-17,0.391
20-Jul-17,
28-Jul-17,0.417
5-Aug-17,0.176
13-Aug-17,
21-Aug-17,0.067
29-Aug-17,0.172
6-Sep-17,
14-Sep-17,0.077
22-Sep-17,
30-Sep-17,0.263
8-Oct-17,
16-Oct-17,0.09
24-Oct-17,
1-Nov-17,
9-Nov-17,
17-Nov-17,
25-Nov-17,
3-Dec-17,
11-Dec-17,
19-Dec-17,
27-Dec-17,
1-Jan-18,
9-Jan-18,
17-Jan-18,
25-Jan-18,
2-Feb-18,
10-Feb-18,
18-Feb-18,
26-Feb-18,0.02
6-Mar-18,0.022
14-Mar-18,
22-Mar-18,0.015
30-Mar-18,
7-Apr-18,-0.006
15-Apr-18,-0.007
23-Apr-18,0.005
1-May-18,
9-May-18,
17-May-18,-0.028
25-May-18,
2-Jun-18,-0.027
10-Jun-18,0.306
18-Jun-18,0.125
26-Jun-18,0.195
4-Jul-18,0.057
12-Jul-18,0.412
20-Jul-18,0.19
28-Jul-18,0.449
5-Aug-18,
13-Aug-18,
21-Aug-18,0.44
29-Aug-18,
6-Sep-18,0.079
14-Sep-18,0.179
22-Sep-18,0.057
30-Sep-18,0.049
8-Oct-18,0.057
16-Oct-18,0.022
24-Oct-18,
1-Nov-18,
9-Nov-18,
17-Nov-18,
25-Nov-18,
3-Dec-18,
11-Dec-18,
19-Dec-18,
27-Dec-18,
1-Jan-19,
9-Jan-19,
17-Jan-19,
25-Jan-19,
2-Feb-19,
10-Feb-19,
18-Feb-19,
26-Feb-19,0.009
6-Mar-19,
14-Mar-19,
22-Mar-19,
30-Mar-19,-0.006
7-Apr-19,
15-Apr-19,
23-Apr-19,-0.019
1-May-19,
9-May-19,-0.081
17-May-19,-0.029
25-May-19,0.344
2-Jun-19,0.357
10-Jun-19,0.091
18-Jun-19,0.402
26-Jun-19,0.324
4-Jul-19,0.421
12-Jul-19,0.277
20-Jul-19,0.121
28-Jul-19,
5-Aug-19,0.201
13-Aug-19,
21-Aug-19,0.078
29-Aug-19,0.113
6-Sep-19,0.115
14-Sep-19,0.182
22-Sep-19,0.083
30-Sep-19,0.04
8-Oct-19,0.029
16-Oct-19,
24-Oct-19,0.085
1-Nov-19,
9-Nov-19,
17-Nov-19,
25-Nov-19,
3-Dec-19,
11-Dec-19,
19-Dec-19,
27-Dec-19,
1-Jan-20,
9-Jan-20,
17-Jan-20,
25-Jan-20,
2-Feb-20,
10-Feb-20,0.116
18-Feb-20,
26-Feb-20,
5-Mar-20,
13-Mar-20,
21-Mar-20,
29-Mar-20,0.001
6-Apr-20,-0.009
14-Apr-20,-0.003
22-Apr-20,
30-Apr-20,
8-May-20,-0.013
16-May-20,
24-May-20,-0.042
1-Jun-20,-0.386
9-Jun-20,0.033
17-Jun-20,0.249
25-Jun-20,0.204
3-Jul-20,
11-Jul-20,0.349
19-Jul-20,
27-Jul-20,0.136
4-Aug-20,
12-Aug-20,0.325
20-Aug-20,0.407
28-Aug-20,0.408
5-Sep-20,0.375
13-Sep-20,0.339
21-Sep-20,0.092
29-Sep-20,0.035
7-Oct-20,
15-Oct-20,0.053
23-Oct-20,0.047
31-Oct-20,0.093
8-Nov-20,
16-Nov-20,
24-Nov-20,
2-Dec-20,
10-Dec-20,
18-Dec-20,
26-Dec-20,
1-Jan-21,
9-Jan-21,
17-Jan-21,
25-Jan-21,
2-Feb-21,
10-Feb-21,
18-Feb-21,
26-Feb-21,
6-Mar-21,
14-Mar-21,0.023
22-Mar-21,0.009
30-Mar-21,
7-Apr-21,
15-Apr-21,
23-Apr-21,-0.021
1-May-21,
9-May-21,
