Min of_NDVI,Max of_NDVI,Label,Count
0.03,0.04,0.03-0.04,6
0.04,0.05,0.04-0.05,1
0.05,0.06,0.05-0.06,4
0.06,0.07,0.06-0.07,4
0.07,0.08,0.07-0.08,0
0.08,0.09,0.08-0.09,0
0.09,0.11,0.09-0.11,0
0.11,0.12,0.11-0.12,0
0.12,0.13,0.12-0.13,0
0.13,0.14,0.13-0.14,0
0.14,0.15,0.14-0.15,0
0.15,0.16,0.15-0.16,0
0.16,0.17,0.16-0.17,0
0.17,0.18,0.17-0.18,0
0.18,0.19,0.18-0.19,4
0.19,0.2,0.19-0.2,0
0.2,0.21,0.2-0.21,0
0.21,0.22,0.21-0.22,0
0.22,0.23,0.22-0.23,0
0.23,0.24,0.23-0.24,0
0.24,0.25,0.24-0.25,0
0.25,0.26,0.25-0.26,0
0.26,0.27,0.26-0.27,0
0.27,0.28,0.27-0.28,0
0.28,0.29,0.28-0.29,0
0.29,0.3,0.29-0.3,0
0.3,0.31,0.3-0.31,0
0.31,0.33,0.31-0.33,0
0.33,0.34,0.33-0.34,0
0.34,0.35,0.34-0.35,0
0.35,0.36,0.35-0.36,2
0.36,0.37,0.36-0.37,1
0.37,0.38,0.37-0.38,34
0.38,0.39,0.38-0.39,67
0.39,0.4,0.39-0.4,88
0.4,0.41,0.4-0.41,135
0.41,0.42,0.41-0.42,111
0.42,0.43,0.42-0.43,50
0.43,0.44,0.43-0.44,75
0.44,0.45,0.44-0.45,35
0.45,0.46,0.45-0.46,44
0.46,0.47,0.46-0.47,34
0.47,0.48,0.47-0.48,19
0.48,0.49,0.48-0.49,25
0.49,0.5,0.49-0.5,15
0.5,0.51,0.5-0.51,17
0.51,0.52,0.51-0.52,12
0.52,0.53,0.52-0.53,0
0.53,0.54,0.53-0.54,0
0.54,0.56,0.54-0.56,3
