,"['air_pressure', 'wind_speed', 'u*', 'AirTC_Avg', 'RH_Samp', 'NR_Wm2_Avg', 'PPFD_Avg', 'Temp_2', 'Temp_15', 'Active_Layer', 'Table_1']"
0,7.885697640336627
1,8.513857482124703
2,14.456272020206054
3,8.106103570321743
4,8.800253529423838
5,8.199609992089764
6,8.812702719935968
7,10.597051649647126
8,8.306316336876359
9,8.153961336788015
10,8.245561794314565
11,10.708538193190023
12,10.222351580706757
13,9.37793817938041
14,9.653056934973005
15,6.9374753152291815
16,12.456462400363879
17,8.18773023043847
18,7.447660110394699
19,8.834670056722286
20,8.151461380094648
21,10.216054065199243
22,8.335513844233596
23,13.205018409521513
24,7.215230823069809
25,8.797420047178743
26,8.36930465969747
27,16.118249009179607
28,7.858961320641579
29,12.126821329115504
30,8.395915931818982
31,8.096260665008847
32,8.54061552065543
33,8.44133300639849
34,21.698142956911997
35,9.664006739879198
36,7.4760228839525
37,6.838051498242915
38,7.765571767484221
39,7.85582341564037
40,7.880546667109591
41,7.611297129164733
42,7.643764372062574
43,10.204557397656155
44,7.751142951013739
45,8.523867546429521
46,8.571576686040336
47,15.398341277050402
48,7.66357607547887
49,8.603252589107022
50,7.759054676209885
51,9.881522930657434
52,8.597828436429097
53,8.367175760553788
54,7.7291762483118935
55,8.901853623413109
56,7.167391218597696
57,8.777193822895265
58,8.4245005900221
59,8.074946048192162
60,10.002033264630489
61,8.821313008991604
62,8.924067280198457
63,7.608597480962336
64,8.368979669336579
65,8.154132665101814
66,18.43180806610115
67,14.270745991277002
68,8.664374507077332
69,8.263922549638176
70,9.965737436634983
71,9.342801110015964
72,14.550488327372053
73,9.113040516480332
74,8.912183674675646
75,8.379184592117367
76,9.685705535737156
77,15.784805642325761
78,11.93373433290094
79,9.15930012337242
80,9.08092865339776
81,9.768054520626288
82,7.942342514150888
83,6.4981514609484705
84,7.841042534757588
85,15.132053921958487
86,8.206021683145064
87,11.416677638403927
88,8.407437541920881
89,7.529595391510576
90,13.717312779199947
91,8.423198277243497
92,7.616733667087131
93,8.983043390819526
94,8.59319624486865
95,12.083878433524118
96,8.801116775029836
97,7.408155063745487
98,9.0545498170794
99,8.77576128707268
